id;created_at;merchant_id;valor;n_PARCELAS;Nome_no_Cartao;status;card_id;iso_id;card_brand;DOCUMENTO
2223391;2021-01-10 00:01:13.555+00;5bc62411f19d470007acbc8c;9474;1;Ana Luísa souza oliveira;Paid;560555555;62;100.0;510574177-567
2223371;2021-01-10 00:00:39.953+00;5c0fa52815f3dd0007bb1e16;2742;1;antônio Silva;refused;5555551552;9;456.0;717355279-706
2223376;2021-01-10 00:00:52.936+00;5bfd833c998a600007b27f93;2235;1;FELIPE FERREIRA;in process;225440550;9;100.0;339057504526
2223379;2021-01-10 00:00:56.639+00;5bab6f250cb37a00075f12f9;3104;1;antônio oliveira;Paid;550000540;62;100.0;
2223397;2021-01-10 00:05:08.929+00;5bd9cece05e0ce0007f9161a;11431;1;RAFAEL Pereira;paid;1001020;35;456.0;083.497.797-797
2223386;2021-01-10 00:01:05.35+00;5cdc2bec662c100007da1f69;6161;1;MARIA Rodrigues;refunded;9900094433;62;456.0;575040546-609
2223378;2021-01-10 00:00:55.791+00;5cb5c77b9470e10007540db7;829;1;Antonio oliveira;paid;3305007003;9;456.0;752.734.682-443
2223389;2021-01-10 00:01:07.963+00;5bab7fc8af98aa0007d5a1c4;10106;1;MARIA de Lima Rodrigues;refused;4554614115;35;456.0;
2223368;2021-01-10 00:00:09.254+00;5bd9cece05e0ce0007f9161a;29267;1;roberta Pereira;Paid;2732103171;35;456.0;982999696991
2223369;2021-01-10 00:00:09.298+00;5ba12a5924d71400045d7c7e;8165;1;Daniel FERREIRA souza;Paid;400000004;62;456.0;64899823606
2223399;2021-01-10 00:05:08.988+00;5ca3a42f15751a0007e6c52b;10371;1;Jéssica lima;Paid;3383341477;35;100.0;484177507602
2223400;2021-01-10 00:05:28.639+00;5c190dbda1b3a40007a6c337;2950;1;roberta oliveira lima;processing;6506560605;9;903.0;
2223366;2021-01-10 00:00:09.209+00;5bd9cece05e0ce0007f9161a;57671;1;NULL;in process;8822882888;47;100.0;806674693887
2223372;2021-01-10 00:00:43.278+00;5c94002ab2ba120007c25b06;2123;1;MARIA souza;Paid;4842248444;9;903.0;561143540642
2223367;2021-01-10 00:00:09.216+00;5bd9cece05e0ce0007f9161a;34872;1;Ana Luísa Rodrigues;Paid;5535803803;47;456.0;340252918162
2223382;2021-01-10 00:01:01.664+00;5c879f6b4efccc000780a130;9286;1;CARLOS Ribeiro SANTOS;paid;177070070;62;456.0;953385016-962
2223393;2021-01-10 00:01:15.561+00;5c11190b0142790007c0462c;5425;1;FELIPE oliveira SANTOS;PAID;2443004443;62;903.0;081526482-130
2223398;2021-01-10 00:05:08.944+00;5abd2ba2d6642d0004632506;7763;1;CARLOS Ribeiro Gomes;refused;660062626;62;456.0;702.917.579-745
2223370;2021-01-10 00:00:29.9+00;5c1a4d9918e2b100073e81ca;16740;1;MARIA de OLIVEIRA Gomes;processing;106004640;35;456.0;
2223373;2021-01-10 00:00:47.372+00;5bfd833c998a600007b27f93;1597;1;NULL;processing;4464464161;9;903.0;294101822-626
2223377;2021-01-10 00:00:54.206+00;5c1a7966f0f4d4000766e9ab;7429;1;juliana oliveira Silva;paid;5555285222;62;456.0;748100643-429
2223385;2021-01-10 00:01:04.761+00;5c10071272cd3d0007e66fb1;9958;1;CARLOS oliveira;in process;4666411616;62;903.0;849273749975
2223387;2021-01-10 00:01:06.135+00;5c10071272cd3d0007e66fb1;8375;1;ANA souza;refused;3030130066;62;903.0;089680530-579
2223402;2021-01-10 00:05:32.158+00;5c7820a9e3a539000723da2a;10115;1;Joao Alves Ribeiro;PAID;3083084884;35;456.0;086.080.581-212
2223403;2021-01-10 00:05:33.338+00;5cb79421a9cea700089f9645;11881;1;marcia Rodrigues;refunded;131110111;35;903.0;623634111-955
2223381;2021-01-10 00:00:59.836+00;5bab6f250cb37a00075f12f9;5814;1;FELIPE de Lima;PAID;2962239666;62;100.0;567124090109
2223380;2021-01-10 00:00:58.098+00;5c1a4d3980f1f10007d90747;11038;1;Paulo José Pereira;refused;3377303330;35;903.0;358239758054
2223384;2021-01-10 00:01:03.079+00;5c10071272cd3d0007e66fb1;3477;1;Daniel de OLIVEIRA Silva;Paid;5222122212;62;903.0;
2223390;2021-01-10 00:01:08.909+00;5d0a29c0b1be3b0007e6da09;1174;1;juliana FERREIRA;paid;1434343434;9;456.0;401410984155
2223395;2021-01-10 00:05:08.784+00;5bd9cece05e0ce0007f9161a;13437;1;;refunded;4939446494;35;456.0;843.027.266-026
2223396;2021-01-10 00:05:08.833+00;5bd9cece05e0ce0007f9161a;5055;1;RAFAEL Gomes souza;Paid;4343343433;62;456.0;
2223405;2021-01-10 00:05:34.753+00;5d13d00d3a716c000724d320;3279;1;marcia Rodrigues SANTOS;Paid;3133633566;62;903.0;324392878-237
2223375;2021-01-10 00:00:49.888+00;5c6573700cbe3b00078dc961;4748;1;;Paid;5005440040;62;456.0;610473493395
2223383;2021-01-10 00:01:02.263+00;5bab6f250cb37a00075f12f9;4811;1;Joao Silva de OLIVEIRA;refused;2462000020;62;100.0;756899302947
2223392;2021-01-10 00:01:14.529+00;5b8d3a81a0c59e00041b5755;9773;1;Pedro Alves;REFUNDED;3013333000;62;;929799626-457
2223401;2021-01-10 00:05:30.494+00;5c429f03aa438b00076afa96;117547;3;ANA Gomes Pereira;Refused;3333330;47;456.0;653178273-343
2223404;2021-01-10 00:05:33.791+00;5cd09e1cad4c490007c38e5c;4709;1;antônio Gomes;refused;4866661480;62;903.0;592093014353
2223388;2021-01-10 00:01:06.712+00;5bab7fc8af98aa0007d5a1c4;21603;1;RAFAEL FERREIRA oliveira;Refused;2020001103;35;456.0;301417994044
2223801;2021-01-10 01:35:08.39+00;5c5475b20e3c2b00071a9b03;10418;1;;refunded;1033703701;35;903.0;600.538.996-605
2223809;2021-01-10 01:35:08.779+00;5bd9cece05e0ce0007f9161a;85664;1;;PAID;5333235323;47;100.0;131203243630
2223820;2021-01-10 01:40:02.713+00;59d639f1930cd30004c38184;1042;1;RAFAEL de OLIVEIRA;refunded;3237736666;9;903.0;000.474.792-341
2223374;2021-01-10 00:00:47.762+00;5c052f00f9f74b0007d827a2;13582;1;;Refused;3313133333;35;903.0;
2223394;2021-01-10 00:01:16.69+00;5bd06928ab9e970007bc5c9c;5125;1;FELIPE de Lima;refunded;3767367033;62;100.0;440854226702
2223440;2021-01-10 00:11:12.854+00;5c0e715bf380750007e4c523;7737;1;Joao FERREIRA;in process;7300077707;62;903.0;417011349866
2223442;2021-01-10 00:11:16.16+00;5ba4e8b54b353b0004098ca2;6735;1;Daniel lima;refused;335110501;62;456.0;
2223466;2021-01-10 00:16:17.787+00;5bc62411f19d470007acbc8c;2567;1;antônio de OLIVEIRA Pereira;paid;3555433553;9;903.0;506.547.419-597
2223477;2021-01-10 00:20:09.227+00;5bd9cece05e0ce0007f9161a;10342;1;;PROCESSING;5012115200;35;456.0;066957943-777
2223518;2021-01-10 00:30:45.194+00;5c0a8bfe7c9c6c00074e25be;6730;1;;Paid;444434144;62;456.0;
2223522;2021-01-10 00:30:56.512+00;5b9bad8fe41e9b000468d75b;9582;1;RAFAEL Ribeiro;processing;1141116162;62;100.0;948943620537
2223537;2021-01-10 00:31:07.197+00;5bab7fc8af98aa0007d5a1c4;11109;1;Ana Luísa Silva souza;processing;1116066104;35;392.0;964068279-173
2223614;2021-01-10 00:46:19.941+00;5bd07dae6fe60300072d6b42;2724;1;Jéssica de OLIVEIRA;refunded;4384232243;9;100.0;
2223647;2021-01-10 00:55:54.956+00;5c11277dfb719a0007c94d7b;2902;1;;PROCESSING;4113011104;9;456.0;
2223667;2021-01-10 01:00:09.357+00;5abd2ba2d6642d0004632506;4421;1;;PROCESSING;3313313111;62;456.0;154041409924
2223688;2021-01-10 01:05:45.463+00;5c13c7d3a6d25900078606cb;5787;1;RAFAEL Ribeiro FERREIRA;refunded;4455544051;62;456.0;986990672592
2224391;2021-01-10 11:20:23.293+00;5bd9f4c7ad32b600078a1fd4;19181;1;Jéssica Rodrigues souza;PAID;1161311111;35;100.0;107400987951
2224419;2021-01-10 11:31:25.738+00;5ac6828da93bd20004485d01;9133;1;;Refused;1317001087;62;903.0;368829656-257
2224420;2021-01-10 11:35:02.201+00;5be9b38f00fbdb00076ebb00;35019;1;;PAID;5581518111;47;100.0;405.213.279-618
2224423;2021-01-10 11:35:05.711+00;5c991854be851b0007dae2a0;8417;1;Antonio FERREIRA oliveira;REFUNDED;5700500771;62;903.0;
2224424;2021-01-10 11:35:05.75+00;5b228e56f5173d0004d18b3f;9125;1;Jéssica lima Silva;refunded;2303535553;62;456.0;836753891-437
2224448;2021-01-10 11:45:05.656+00;5d1fadfb12743d0007cebb51;9206;1;Antonio souza Ribeiro;refused;4152222242;62;903.0;691.233.159-963
2224450;2021-01-10 11:45:05.797+00;5b4fd6069657300004d8aded;7973;1;marcia de OLIVEIRA Ribeiro;refunded;110000;62;100.0;085485773-443
2224454;2021-01-10 11:45:31.321+00;5bf437dbbadf7d00074eb70f;3716;1;CARLOS de Lima FERREIRA;REFUNDED;284000024;62;903.0;
2224462;2021-01-10 11:50:27.691+00;5bbf651f577eac0007012edd;12350;2;antônio de Lima;refunded;8088000004;35;456.0;
2224470;2021-01-10 11:50:28.815+00;5c3390fcaabb400007f30c16;5325;1;Ana Luísa de Lima;refused;7847878784;62;456.0;22404511977
2224489;2021-01-10 11:55:28.847+00;5bf3e80be437eb000779a646;9924;1;roberta Gomes Pereira;Refused;2244222222;62;100.0;151.063.199-753
2224494;2021-01-10 11:55:29.526+00;5c429c89c5c414000791e415;3416;1;Jéssica SANTOS oliveira;Paid;4044244320;62;903.0;53102673924
2224497;2021-01-10 11:55:29.836+00;5bfffc2957928f0007cad9da;4264;1;marcia FERREIRA SANTOS;refunded;5007555579;62;903.0;310365676382
2224502;2021-01-10 12:00:05.736+00;5c534ca92c6bbe0007b54dca;10031;1;juliana Rodrigues de Lima;REFUNDED;520505254;35;456.0;468.083.594-930
2223406;2021-01-10 00:05:40.225+00;5c1a4d9918e2b100073e81ca;28877;3;CARLOS Alves de OLIVEIRA;refunded;1414111311;35;456.0;294892132-644
2223407;2021-01-10 00:05:40.889+00;5c40f476e73cff00077d7d36;7951;1;;Refused;1474424474;62;456.0;806.348.645-240
2223409;2021-01-10 00:05:55.936+00;5c052f00f9f74b0007d827a2;11796;1;Ana Luísa de OLIVEIRA lima;Refused;1020000022;35;100.0;757.239.836-627
2223419;2021-01-10 00:06:12.923+00;5bc62411f19d470007acbc8c;6079;1;Paulo José oliveira SANTOS;Refused;5565065256;62;456.0;735260814738
2223420;2021-01-10 00:06:13.588+00;5b8d3a81a0c59e00041b5755;22568;1;Antonio de OLIVEIRA;refunded;3343434343;35;456.0;562086314049
2223426;2021-01-10 00:10:09.665+00;5bd9cece05e0ce0007f9161a;3556;1;roberta FERREIRA;Paid;60000;62;100.0;27912574084
2223428;2021-01-10 00:10:09.754+00;5bd9cece05e0ce0007f9161a;12278;1;Joao lima;paid;2222422244;35;456.0;553957044308
2223451;2021-01-10 00:15:03.169+00;59d639f1930cd30004c38184;9117;1;;Paid;2020742472;62;456.0;718692871-260
2223467;2021-01-10 00:16:18.021+00;5c1a68653213210007f4fc76;4167;1;juliana Gomes;paid;5655455556;62;903.0;469313192600
2223485;2021-01-10 00:20:43.016+00;5c1bacfb4e51dd0007766639;10586;1;CARLOS Gomes Silva;refunded;6126122212;35;100.0;
2223489;2021-01-10 00:21:12.53+00;5c07b0592ab7d70007f0a568;10232;1;Antonio Rodrigues;PROCESSING;212212102;35;456.0;841.501.585-305
2223494;2021-01-10 00:25:09.651+00;5bd9cece05e0ce0007f9161a;14927;1;juliana Rodrigues oliveira;paid;2535332002;35;100.0;788.179.934-530
2223561;2021-01-10 00:36:04.06+00;5ceeece8f32c60000776229e;9882;1;;Refused;2852252522;62;100.0;327.825.291-498
2223620;2021-01-10 00:49:36.332+00;59fcc406a0ddac0004dd7ffc;20863;1;Paulo José de OLIVEIRA Ribeiro;Paid;2177211271;35;100.0;487.519.631-147
2224043;2021-01-10 03:10:19.674+00;5c94002ab2ba120007c25b06;20294;1;CARLOS Pereira;refused;3388883888;35;100.0;128595853393
2224054;2021-01-10 03:25:27.531+00;5caf9bc8b1a27e0007c09a82;5148;1;;Refused;1220000200;62;100.0;319186774111
2224061;2021-01-10 03:35:30.331+00;5c3365eb54aa4f0007d6d087;4114;1;;Refused;3330303533;62;456.0;870696408729
2224068;2021-01-10 03:45:05.766+00;5b003b7cb5eb12000468da6c;2671;1;;PAID;5033333053;9;456.0;306593051230
2224114;2021-01-10 08:40:05.59+00;5bd9cece05e0ce0007f9161a;56838;1;Paulo José de Lima Ribeiro;PAID;1155775151;47;903.0;503634350331
2224120;2021-01-10 09:20:06.256+00;5bd9cece05e0ce0007f9161a;54726;1;marcia Alves souza;processing;3522504655;47;100.0;149520170440
2224130;2021-01-10 09:35:05.546+00;5bd9cece05e0ce0007f9161a;74928;1;CARLOS FERREIRA;Paid;3333336333;47;100.0;
2224154;2021-01-10 10:05:05.183+00;5ad0935d46389a0004fa8fd8;77813;1;Daniel Rodrigues;in process;2557558852;47;903.0;978319439538
2224163;2021-01-10 10:10:20.88+00;5bf3e80be437eb000779a646;9998;1;Joao oliveira;refused;1334833334;62;456.0;
2224170;2021-01-10 10:15:06.319+00;5c5411440b6efb0007a0a657;6909;1;Daniel Ribeiro;paid;5444818441;62;456.0;353788682-828
2224184;2021-01-10 10:20:54.601+00;59b6d55e3dcc110004b8636c;2624;1;;paid;5605056155;9;456.0;
2224195;2021-01-10 10:30:19.232+00;5c0fbb2078b631000765a0eb;10152;1;Antonio Ribeiro;REFUNDED;62110100;35;903.0;026.661.234-330
2224205;2021-01-10 10:35:05.135+00;5c534ca92c6bbe0007b54dca;9445;1;ANA Rodrigues lima;paid;4422022440;62;456.0;361668025-459
2224208;2021-01-10 10:35:49.077+00;5c193863a1042100070bb12b;11471;1;;in process;1116111163;35;903.0;
2224210;2021-01-10 10:35:49.75+00;5b968842197384000408124a;9073;1;ANA Ribeiro SANTOS;Refused;2812212128;62;100.0;995.532.707-747
2224222;2021-01-10 10:40:29.134+00;5c65768e794990000703fc73;419;1;antônio Ribeiro FERREIRA;paid;172327774;9;100.0;424.677.855-252
2224245;2021-01-10 10:55:21.612+00;5bf427ad4267ab00074ff055;14689;1;Paulo José Ribeiro;Paid;941041104;35;100.0;
2224255;2021-01-10 11:00:25.002+00;5bad2963fbd59700079bb726;5449;1;;PAID;5105020503;62;456.0;798111024-351
2224295;2021-01-10 11:10:32.736+00;5c3390e12a25e30007ef08be;7172;1;;Paid;4440000666;62;392.0;739488819-012
2224296;2021-01-10 11:10:33.036+00;5bbd0e4038c0ba0006c69f5b;752;1;juliana Ribeiro;paid;4330003313;9;456.0;309663119-284
2224297;2021-01-10 11:10:33.083+00;5bce1c94b432d20007febfe4;6963;1;Joao Silva oliveira;Paid;9000199039;62;903.0;935704666452
2224310;2021-01-10 11:10:33.697+00;5ce57de345e7c60007259fa2;7376;1;FELIPE Alves Alves;refunded;4334444446;62;100.0;799606226340
2223422;2021-01-10 00:10:02.928+00;5bb3d99bf0037700065cc8c6;8825;1;juliana Gomes;processing;8777801031;62;903.0;
2223430;2021-01-10 00:10:37.351+00;5bc6132a07a1b7000741e34e;4279;1;Ana Luísa de Lima;in process;1322231331;62;903.0;10986878702
2223436;2021-01-10 00:11:06.838+00;5c41e355d8d3ec00076291c9;9366;1;Pedro de OLIVEIRA FERREIRA;refunded;4030333324;62;903.0;987.893.207-172
2223438;2021-01-10 00:11:10.469+00;5c41e355d8d3ec00076291c9;10386;1;;Refused;3773737376;35;903.0;
2223463;2021-01-10 00:16:17.277+00;5c1a68653213210007f4fc76;3062;1;marcia Alves;refunded;4355561416;62;456.0;811.427.099-229
2224190;2021-01-10 10:25:27.666+00;5bdb1345a8b91d000711e93f;5773;1;Joao oliveira;Refused;777077037;62;456.0;602036709-125
2223855;2021-01-10 01:46:27.268+00;5bc62411f19d470007acbc8c;6103;1;Daniel Alves;Paid;1414147411;62;456.0;301.926.866-166
2223856;2021-01-10 01:50:03.915+00;59d639f1930cd30004c38184;15570;1;Jéssica Pereira Pereira;Refused;3332063602;35;456.0;369501370003
2223881;2021-01-10 01:58:20.649+00;5a536f683070a50004f22f42;7112;1;roberta de Lima Silva;paid;3599961355;62;456.0;
2223886;2021-01-10 02:00:59.719+00;5c1121cd0142790007c046fc;2381;1;MARIA de Lima SANTOS;Paid;7557775757;9;100.0;23334572823
2223897;2021-01-10 02:05:08.808+00;5bd9cece05e0ce0007f9161a;7228;1;Jéssica Rodrigues;REFUNDED;3080833333;62;100.0;864461753186
2223925;2021-01-10 02:16:23.876+00;5c9cbfafb12c35000757da80;540;1;MARIA de Lima SANTOS;Paid;1921125195;9;100.0;320915142987
2223926;2021-01-10 02:20:08.866+00;5bd9cece05e0ce0007f9161a;11546;1;;Paid;2883822888;35;456.0;605220114904
2223934;2021-01-10 02:21:03.458+00;5c8189138fa8340007e2bf5d;23271;1;marcia oliveira oliveira;Refused;2202192221;35;456.0;893844197070
2223938;2021-01-10 02:21:26.558+00;5ce5735571659f0007964186;8528;1;roberta de Lima;Paid;1010116101;62;903.0;827722148833
2223945;2021-01-10 02:25:08.775+00;5bd9cece05e0ce0007f9161a;12300;1;MARIA Silva;paid;8585858228;35;100.0;273.089.318-676
